[0.062] [logger.py]	- Logger initialized!
[0.078] [lane_assist.py]	- Importing Modules...
[0.172] [lane_assist.py]	- Imported
[0.172] [lane_assist.py]	- Default theme: Dark
[0.250] [lane_assist.py]	- Main window created
[0.250] [lane_assist.py]	- Creating Franes...
[0.266] [lane_assist.py]	- Frames created
[0.266] [lane_assist.py]	- Creating sidebar buttons...
[0.297] [lane_assist.py]	- Sidebar buttons created
[0.297] [lane_assist.py]	- Creating home buttons
[0.312] [lane_assist.py]	- Home buttons created
[0.469] [lane_assist.py]	- Exit window created
[0.562] [lane_assist.py]	- Closed window
